audio_filename,open,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
#A3-1.wav,1.0,0.279132,-3.835076,-8.000289916992188,21.811493,0.010179,0.004089,0.796518,5.404292106628418,10.5,0.0177335,-0.00014
#A3-3-B.wav,5.0,0.167963,3.320424,1.3243510723114014,24.716747,0.108029,0.004337,0.939716,4.324037075042725,5.5,0.0160655,-0.000114
#A3-5-B.wav,5.0,0.080808,13.089428,15.17221736907959,21.335903,0.055835,0.011691,0.975714,3.096889019012451,4.0,0.022197,-0.000121
#A4-1.wav,1.0,0.171116,8.5256405,5.042880058288574,25.818035,0.038409002,0.002254,0.85220647,2.50569748878479,7.666667,0.019543,-0.00012
#A4-3-B.wav,3.0,0.1702615,2.813552,0.49621251225471497,31.574877,0.13306901,0.001978,0.655661,4.080148220062256,11.0,0.022928,-0.000119
#A4-5-B.wav,5.0,0.080244005,0.090399,0.2625559866428375,17.773006,0.32614052,0.007085,0.5091235,8.384979248046875,14.0,0.029016,-0.000124
#C4-1.wav,1.0,0.25394,2.1449761,-1.4453239440917969,23.248302,0.0042645,0.003933,0.596586,0.941370964050293,6.5,0.02131,-0.000143
#C4-3-B.wav,3.0,0.215511,7.29338,6.069636344909668,26.022324,0.16648,0.003048,0.732583,2.9965810775756836,6.5,0.011406,-0.000118
#C4-5-B.wav,3.0,0.096593,13.581183,12.710281372070312,20.335287,0.0815775,0.00842,0.9173125,1.1865299940109253,4.666667,0.0173485,-0.000109
#D4-1.wav,1.0,0.336987,6.335771,13.960553169250488,23.68462,0.004602,0.003257,0.780701,0.5082080364227295,7.0,0.025757,-0.000132
#D4-3-B.wav,3.0,0.214679,0.677007,0.9152569770812988,25.22066,0.220892,0.002867,0.445813,2.7336621284484863,7.5,0.020658001,-0.000114
#D4-5-B.wav,3.0,0.1016725,13.992648,11.798839569091797,21.986786,0.1074545,0.007385,0.9223795,1.1841800212860107,7.5,0.031073,-0.000113
#F3-1.wav,1.0,0.20377949,-7.7200727,-9.509176254272461,19.361526,0.002744,0.004466,0.267421,1.5937860012054443,9.0,0.020911,-0.000177
#F3-3-B.wav,3.0,0.158792,0.972573,3.5514650344848633,21.701561,0.084891,0.00415,0.901713,3.6088669300079346,3.0,0.018068999,-0.000127
