,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,,,,24.280985827744225,,0.34478626552441083,5.190366905727287,0.27122685329975427,
throat,,,,24.280985827744225,,0.34478626552441083,5.190366905727287,0.27122685329975427,
position,,,,24.280985827744225,,0.34478626552441083,5.190366905727287,0.27122685329975427,
open,,,,24.280985827744225,,0.34478626552441083,5.190366905727287,0.27122685329975427,
clean,,,,,,0.2885717946751988,3.0294321624569935,0.5123191368892469,
resonate,,,4.684744516593307,2.7611973851129195,,0.2175142932033667,2.3032853147640573,0.35225954816854516,
unify,,,,24.280985827744225,,0.34478626552441083,5.190366905727287,0.27122685329975427,
falsetto,,,,24.280985827744225,,0.34478626552441083,5.190366905727287,0.27122685329975427,
chest,,,,24.280985827744225,,0.34478626552441083,5.190366905727287,0.27122685329975427,
nasal,,,,3.394849328470205,,0.29737054194114315,,0.5597059033295172,
